@contest "SanSi Cup 2024"
@contlen 240
@problems 7
@teams 53
@submissions 913
@p A,Alalay,20,0
@p B,Back to the Fruit Forest,20,0
@p C,Christ of Discord,20,0
@p D,World Domination,20,0
@p E,El Gift from Ronaldo,20,0
@p F,Fiesta in the Mountains,20,0
@p G,Global warming,20,0
@t 1,0,1,SeKoCa
@t 2,0,1,LeAnJuCh
@t 3,0,1,NiArAlMu
@t 4,0,1,LuAlCaQu
@t 5,0,1,AlJaAlRo
@t 6,0,1,NiMaVaVi
@t 7,0,1,AnRaSaAn
@t 8,0,1,LuDaAjTa
@t 9,0,1,MoMaQuAr
@t 10,0,1,AmMoRoMo
@t 11,0,1,LuAlRoCe
@t 12,0,1,AnJoSoCh
@t 13,0,1,IsPoBoPu
@t 14,0,1,CrViRoMa
@t 15,0,1,LeZeAl
@t 16,0,1,FrSeCaUt
@t 17,0,1,JaSeChFu
@t 18,0,1,RoFlCo
@t 19,0,1,DaAlGuBu
@t 20,0,1,AnSaUg
@t 21,0,1,GaPaBu
@t 22,0,1,FaJaCaGo
@t 23,0,1,MaAnCuLe
@t 24,0,1,MiAnCo
@t 25,0,1,DaZeToMe
@t 26,0,1,JoIgJaJa
@t 27,0,1,JaAnMaRo
@t 28,0,1,HuDaMaLo
@t 29,0,1,HuAlApHu
@t 30,0,1,JoDaMeTo
@t 31,0,1,AlAnSoGo
@t 32,0,1,LeDeMe
@t 33,0,1,SeAlViVe
@t 34,0,1,DyAlBeRi
@t 35,0,1,MaRe
@t 36,0,1,DeFiIn
@t 37,0,1,JoEdTaTa
@t 38,0,1,ErMaBaTa
@t 39,0,1,OlWiPoFl
@t 40,0,1,DiJuCoMa
@t 41,0,1,MiAnQuMa
@t 42,0,1,BrVaMo
@t 43,0,1,ANIGHIGA
@t 44,0,1,MaViRoCo
@t 45,0,1,JoArGoTi
@t 46,0,1,AnMiCaMa
@t 47,0,1,JoDeVeEs
@t 48,0,1,ChSeFlMa
@t 49,0,1,AnDaOrFl
@t 50,0,1,CaCaOrPi
@t 51,0,1,DiFePeLu
@t 52,0,1,ShLeTeMu
@t 53,0,1,JoSaCaEn
@s 1,D,1,151,RJ
@s 2,D,1,163,RJ
@s 3,D,1,164,RJ
@s 4,D,1,165,RJ
@s 5,D,1,179,RJ
@s 6,G,1,189,RJ
@s 4,D,1,193,RJ
@s 7,D,1,205,RJ
@s 8,D,1,206,RJ
@s 9,D,1,209,RJ
@s 10,D,1,212,RJ
@s 2,D,1,215,RJ
@s 11,D,1,215,RJ
@s 10,D,1,228,RJ
@s 12,D,1,230,RJ
@s 13,D,1,237,RJ
@s 14,D,1,250,RJ
@s 15,D,1,254,RJ
@s 16,D,1,256,RJ
@s 17,D,1,259,RJ
@s 18,D,1,261,RJ
@s 19,D,1,273,RJ
@s 3,D,1,274,RJ
@s 6,D,1,283,RJ
@s 7,D,1,284,RJ
@s 20,D,1,289,RJ
@s 21,D,1,292,RJ
@s 22,D,1,294,RJ
@s 4,D,1,297,RJ
@s 23,D,1,298,RJ
@s 24,D,1,307,RJ
@s 25,D,1,308,RJ
@s 15,D,1,309,RJ
@s 26,D,1,314,RJ
@s 27,D,1,338,RJ
@s 10,D,1,340,RJ
@s 28,D,1,345,RJ
