Country,University Name,University URL,Number of Teams
ARG,Universidad Nacional de La Plata,https://www.cphof.org/university/Universidad%20Nacional%20de%20La%20Plata,2
ARG,Universidad Nacional de Rosario,https://www.cphof.org/university/Universidad%20Nacional%20de%20Rosario,6
ARG,Facultad de Ciencias Exactas-Universidad Nacional de Rosario,https://www.cphof.org/university/Facultad%20de%20Ciencias%20Exactas-Universidad%20Nacional%20de%20Rosario,1
ARG,Universidad de Buenos Aires - FCEN,https://www.cphof.org/university/Universidad%20de%20Buenos%20Aires%20-%20FCEN,23
ARG,Universidad Nacional del Sur,https://www.cphof.org/university/Universidad%20Nacional%20del%20Sur,3
ARG,Universidad de Buenos Aires,https://www.cphof.org/university/Universidad%20de%20Buenos%20Aires,23
ARG,Universidad Nacional de Córdoba - FaMAF,https://www.cphof.org/university/Universidad%20Nacional%20de%20C%C3%B3rdoba%20-%20FaMAF,11
ARG,Universidad Tecnológica Nacional - Facultad Regional Santa Fe,https://www.cphof.org/university/Universidad%20Tecnol%C3%B3gica%20Nacional%20-%20Facultad%20Regional%20Santa%20Fe,3
BRA,University of Brasilia,https://www.cphof.org/university/University%20of%20Brasilia,3
BRA,New York University,https://www.cphof.org/university/New%20York%20University,0
BRA,Instituto de Matemática Pura e Aplicada,https://www.cphof.org/university/Instituto%20de%20Matem%C3%A1tica%20Pura%20e%20Aplicada,1
BRA,Universidade Federal de Pernambuco,https://www.cphof.org/university/Universidade%20Federal%20de%20Pernambuco,16
BRA,University of Toronto,https://www.cphof.org/university/University%20of%20Toronto,0
BRA,Instituto Tecnológico de Aeronautica,https://www.cphof.org/university/Instituto%20Tecnol%C3%B3gico%20de%20Aeronautica,9
BRA,Universidade de Brasília,https://www.cphof.org/university/Universidade%20de%20Bras%C3%ADlia,3
BRA,Universidade Estadual de Campinas,https://www.cphof.org/university/Universidade%20Estadual%20de%20Campinas,13
BRA,Universidade Federal do Rio Grande do Norte,https://www.cphof.org/university/Universidade%20Federal%20do%20Rio%20Grande%20do%20Norte,2
BRA,Universidade Federal de Goiás,https://www.cphof.org/university/Universidade%20Federal%20de%20Goi%C3%A1s,1
BRA,Universidade Federal de Sergipe,https://www.cphof.org/university/Universidade%20Federal%20de%20Sergipe,1
BRA,Pontificia Universidade Catolica do Rio de Janeiro,https://www.cphof.org/university/Pontificia%20Universidade%20Catolica%20do%20Rio%20de%20Janeiro,4
BRA,Universidade Federal do Paraná,https://www.cphof.org/university/Universidade%20Federal%20do%20Paran%C3%A1,3
BRA,Universidade Federal do Rio de Janeiro,https://www.cphof.org/university/Universidade%20Federal%20do%20Rio%20de%20Janeiro,6
BRA,Universidade Federal do Espirito Santo,https://www.cphof.org/university/Universidade%20Federal%20do%20Espirito%20Santo,1
BRA,Universidade Federal de Campina Grande,https://www.cphof.org/university/Universidade%20Federal%20de%20Campina%20Grande,9
BRA,Universidade de São Paulo,https://www.cphof.org/university/Universidade%20de%20S%C3%A3o%20Paulo,13
BRA,Institute of Computing - Federal University of Amazonas,https://www.cphof.org/university/Institute%20of%20Computing%20-%20Federal%20University%20of%20Amazonas,1
BRA,Universidade do Estado de Santa Catarina,https://www.cphof.org/university/Universidade%20do%20Estado%20de%20Santa%20Catarina,1
